titre,titre_original,date,duree,descriptions,genre,langue_origine,pays,public,score,acteurs,nbSaisons,nbEpisodes
Invincible,Invincible,26 mars 2021,50,Une série animée pour adultes inspirée de la bande dessinée sur un adolescent dont le père est le super-héros le plus puissant de la planète.,"Animation,Action,Aventure",Anglais,États-Unis,16,8.7,"Steven Yeun,J.K. Simmons,Sandra Oh,Zazie Beetz,Grey Griffin,Kevin Michael Richardson,Walton Goggins,Gillian Jacobs,Zachary Quinto,Andrew Rannells,Jason Mantzoukas,Khary Payton,Melise,Ross Marquand,Chris Diamantopoulos,Max Burkholder,Mark Hamill,Clancy Brown",2,13
Sarabhai V/S Sarabhai,Sarabhai V/S Sarabhai,8 novembre 2004,30,"The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Bombay, whose daughter-in-law is from a middle class Delhi background.",Comédie,"Hindi,Goudjerati,Anglais",Inde,TV-PG,9.0,"Satish Shah,Ratna Pathak Shah,Sumeet Raghavan,Rupali Ganguly,Rajesh Kumar,Ghanshyam Nayak,Deven Bhojani,Arvind Vaidya,Shilpa Mehta,Rita Bhaduri,Sheetal Thakkar,Vaibhavi Upadhyaya,Aishwarya Sakhuja,Gurpal Singh,Gerald Stone,Aatish Kapadia,Jamnadas Majethia,Tarla Joshi",2,79
Panchayat,Panchayat,3 avril 2020,35,"Panchayat illustre le parcours d'Abhishek, un diplômé en génie civil, qui, faute de mieux, rejoint en tant que secrétaire d'un bureau de Panchayat dans un village isolé de l'Uttar Pradesh.","Comédie,Drame",Hindi,Inde,16,8.9,"Jitendra Kumar,Raghuvir Yadav,Chandan Roy,Faisal Malik,Neena Gupta,Sanvikaa,Durgesh Kumar,Biswapati Sarkar,Subhendu Chakraborty,Sushil Tandon,Mubarak Khan,Govind Lobhani,Kamal Rai,Bal Mukund Rai,Salim Ansari,Mohd. Shakir,Dinesh Tiwaru,Kailash Karoshiya",2,16
Gullak,Gullak,27 juin 2019,24,"Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.","Comédie,Drame,Famille",Hindi,Inde,Non Renseigné,9.1,"Jameel Khan,Geetanjali Kulkarni,Vaibhav Raj Gupta,Harsh Mayar,Shivankit Singh Parihar,Sunita Rajwar,Saad Bilgrami,Deepak Kumar Mishra,Akdas Hayat,Bilal Khan,Gaurav Sarathe,Sachin Chaudhary,Abhishake Jha,Amar Singh Parihar,Ashwini,Stuti Tiwari,Vishwanath Chatterjee,Ajay Pal",3,15
Downton Abbey,Downton Abbey,10 décembre 2011,58,Une chronique de la vie de la famille aristocrate britannique nommée Crawley et de leurs serviteurs au début du XXème siècle.,"Drame,Romantique",Anglais,Royaume-Uni,Tous publics,8.7,"Hugh Bonneville,Phyllis Logan,Elizabeth McGovern,Brendan Coyle,Laura Carmichael,Jim Carter,Michelle Dockery,Joanne Froggatt,Robert James-Collier,Sophie McShera,Lesley Nicol,Maggie Smith,Penelope Wilton,Kevin Doyle,Allen Leech,David Robb,Siobhan Finneran,Dan Stevens",6,52
Severance,Severance,18 février 2022,55,"Mark dirige une équipe d'employés dont les souvenirs ont été divisés entre leur travail et leur vie personnelle. Lorsqu'un mystérieux collègue apparaît en dehors du travail, il commence un voyage pour découvrir la vérité sur son travail.","Drame,Mystère,Science-fiction",Anglais,États-Unis,12,8.7,"Adam Scott,Zach Cherry,Britt Lower,Tramell Tillman,Jen Tullock,Dichen Lachman,Michael Chernus,John Turturro,Christopher Walken,Patricia Arquette,Gwendoline Christie,Alia Shawkat,Merritt Wever,Ólafur Darri Ólafsson,Robby Benson,John Noble,Bob Balaban,Stefano Carannante",1,19
Stranger Things,Stranger Things,15 juillet 2016,51,"Lorsqu'un jeune garçon disparaît, sa mère, le chef de police et ses amis doivent affronter des forces terrifiantes afin de le retrouver.","Drame,Fantastique,Horreur","Anglais,Russe",États-Unis,16,8.7,"Millie Bobby Brown,Finn Wolfhard,Winona Ryder,David Harbour,Gaten Matarazzo,Caleb McLaughlin,Natalia Dyer,Charlie Heaton,Joe Keery,Noah Schnapp,Cara Buono,Priah Ferguson,Sadie Sink,Maya Hawke,Brett Gelman,Joe Chrest,Paul Reiser,Dacre Montgomery",5,42
Battlestar Galactica,Battlestar Galactica,2 décembre 2005,44,"Quand de vieux ennemis appelés les Cylons refont surface et effacent les 12 colonies, l'équipage du vieux Galactica protège la dernière petite flotte civile de l'humanité et se dirige vers la 13ème colonie légendaire: la Terre.","Action,Aventure,Drame",Anglais,États-Unis,Tous publics,8.7,"Edward James Olmos,Mary McDonnell,Jamie Bamber,James Callis,Tricia Helfer,Grace Park,Katee Sackhoff,Michael Hogan,Aaron Douglas,Tahmoh Penikett,Alessandro Juliani,Kandyse McClure,Bodie Olmos,Donnelly Rhodes,Michael Trucco,Nicki Clyne,Leah Cairns,Rekha Sharma",4,74
Dr House,House M.D.,1 mars 2006,44,Un médecin antisocial et non-conformiste se spécialise dans le diagnostic médical fait tout ce qu'il peut pour résoudre les cas mystérieux qui se présentent à lui en utilisant son équipe de médecins et son intelligence.,"Drame,Mystère",Anglais,États-Unis,Tous publics,8.7,"Hugh Laurie,Omar Epps,Robert Sean Leonard,Jesse Spencer,Lisa Edelstein,Bobbin Bergstrom,Jennifer Morrison,Peter Jacobson,Olivia Wilde,Kal Penn,Odette Annable,Charlyne Yi,Anne Dudek,Jennifer Crystal Foley,Amber Tamblyn,Liz Benoit,Stephanie Venditto,Sela Ward",8,176
The Shield,The Shield,23 novembre 2003,47,Suit la vie et les affaires d'un flic corrompu d'un commissariat de Los Angeles et de l'équipe sous son commandement.,"Policier,Drame,Thriller",Anglais,États-Unis,12,8.7,"Michael Chiklis,Jay Karnes,Michael Jace,CCH Pounder,Walton Goggins,Benito Martinez,Catherine Dent,Cathy Cahlin Ryan,David Rees Snell,Kenny Johnson,David Marciano,Autumn Chiklis,Paula Garcés,Michele Hicks,Melanie Myers,Joel Rosenthal,Matt Corboy,Chaney Kley",7,89
Fleabag,Fleabag,10 février 2017,27,Une série comique en six parties adaptée d'une pièce primée qui raconte l'histoire d'une jeune femme essayant de faire face à la vie à Londres tout en faisant face à une tragédie récente.,"Comédie,Drame",Anglais,Royaume-Uni,18,8.7,"Phoebe Waller-Bridge,Sian Clifford,Olivia Colman,Jenny Rainsford,Bill Paterson,Brett Gelman,Andrew Scott,Hugh Skinner,Ben Aldridge,Hugh Dennis,Jamie Demetriou,Kae Alexander,Anthony Welsh,Ray Fearon,Christian Hillborg,David Hargreaves,Angus Imrie,Christopher Colquhoun",2,12
Sur les quais...,On the Waterfront,14 janvier 1955,108,"Un ancien champion de lutte, devenu docker, lutte pour tenir tête à ses patrons syndicaux corrompus.","Policier,Drame,Thriller",Anglais,États-Unis,Tous publics,8.1,"Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steiger,Pat Henning,Leif Erickson,James Westerfield,Tony Galento,Tami Mauriello,John F. Hamilton,John Heldabrand,Rudy Bond,Don Blackman,Arthur Keegan,Abe Simon,Eva Marie Saint,Martin Balsam,Dan Bergin",,
One Punch Man,Wanpanman,2 janvier 2017,24,"L'histoire de Saitama, un héros qui le fait juste pour le plaisir et peut vaincre ses ennemis d'un seul coup de poing.","Animation,Action,Comédie","Japonais,Anglais",Japon,12,8.7,"Makoto Furukawa,Kaito Ishikawa,Max Mittelman,Zach Aguilar,Hiromichi Tezuka,Robbie Daymond,Kyle Hebert,Shôta Yamamoto,Yôji Ueda,Sean Chiplock,Yoshiaki Hasegawa,Kirk Thornton,Shin'ya Hamazoe,Bill Rogers,Hikaru Midorikawa,Ben Lepley,Ben Pronsky,Koichi Soma",2,25
Blade Runner,Blade Runner,15 septembre 1982,117,"Un agent d'une unité spéciale, un blade runner, doit poursuivre et éliminer les quatre répliquant qui ont volé un navire dans l'espace et sont retournés sur Terre pour trouver leur créateur.","Action,Drame,Science-fiction","Anglais,Allemand,Cantonais,Japonais,Hongrois,Arabe,Coréen",États-Unis,Tous publics avec avertissement,8.1,"Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,M. Emmet Walsh,Daryl Hannah,William Sanderson,Brion James,Joe Turkel,Joanna Cassidy,James Hong,Morgan Paull,Kevin Thompson,John Edward Allen,Hy Pyke,Kimiko Hiroshige,Bob Okazaki,Carolyn DeMirjian",,
La ruée vers l'or,The Gold Rush,9 octobre 1925,95,Le célèbre assaut pour tout l'or de l'Oklahoma vu par l'un des maîtres du burlesque américain.,"Aventure,Comédie,Drame","Anglais,Muet",États-Unis,Tous publics,8.2,"Charles Chaplin,Mack Swain,Tom Murray,Henry Bergman,Malcolm Waite,Georgia Hale,Jack Adams,Frank Aderias,Leona Aderias,Lillian Adrian,Sam Allen,Claude Anderson,Harry Arras,Albert Austin,Marta Belfort,William Bell,Francis Bernhardt,F.J. Beuaregard",,
Les enfants du ciel,Bacheha-Ye aseman,5 avril 2000,89,"Après qu'un garçon ait perdu la paire de chaussures de sa soeur, il part à leur recherche. Malgré diverses aventures, il n'y parvient pas et essaie d'en trouver une nouvelle paire.","Drame,Famille,Sport",Persan,Iran,Tous publics,8.2,"Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,Nafise Jafar-Mohammadi,Fereshte Sarabandi,Kamal Mirkarimi,Behzad Rafi,Dariush Mokhtari,Mohammad-Hasan Hosseinian,Masume Dair,Kambiz Peykarnegar,Hasan Roohparvari,Abbas-Ali Roomandi,Jafar Seyfollahi,Qolamreza Maleki,Zahra Mirzai,Sara Zamani,Mohammad Haj-Hosseini",,
Arrête-moi si tu peux,Catch Me If You Can,12 février 2003,141,"Un agent expérimenté du FBI poursuit Frank Abagnale Jr. qui, avant son 19e anniversaire, avait réussi à faire des chèques de plusieurs millions de dollars tout en se faisant passer pour un pilote de la compagnie Pan Am, un médecin et un procureur.","Biographique,Policier,Drame","Anglais,Français","États-Unis,Canada",Tous publics,8.1,"Leonardo DiCaprio,Tom Hanks,Christopher Walken,Martin Sheen,Nathalie Baye,Amy Adams,James Brolin,Brian Howe,Frank John Hughes,Steve Eastin,Chris Ellis,John Finn,Jennifer Garner,Nancy Lenehan,Ellen Pompeo,Elizabeth Banks,Guy Thauvette,Candice Azzara",,
Million Dollar Baby,Million Dollar Baby,23 mars 2005,132,Une femme résolue travaille avec un coach de boxe expérimenté afin de devenir professionel.,"Drame,Sport","Anglais,Gaélique d'Irlande",États-Unis,Tous publics,8.1,"Hilary Swank,Clint Eastwood,Morgan Freeman,Jay Baruchel,Mike Colter,Lucia Rijker,Brían F. O'Byrne,Anthony Mackie,Margo Martindale,Riki Lindhome,Michael Peña,Benito Martinez,Bruce MacVittie,David Powledge,Joe D'Angerio,Marcus Chait,Tom McCleister,Erica Grant",,
Prisoners,Prisoners,9 octobre 2013,153,"Lorsque la fille de Keller Dover et son amie sont portées disparues, il prend les choses en main alors que la police poursuit des pistes multiples et que la pression monte.","Policier,Drame,Mystère",Anglais,États-Unis,12,8.1,"Hugh Jackman,Jake Gyllenhaal,Viola Davis,Melissa Leo,Maria Bello,Terrence Howard,Paul Dano,Dylan Minnette,Zoë Soul,Erin Gerasimovich,Kyla-Drew,Wayne Duvall,Len Cariou,David Dastmalchian,Brad James,Anthony Reynolds,Robert C. Treveiler,Sandra Ellis Lafferty",,
Les Simpson,The Simpsons,22 décembre 1990,22,Les aventures satiriques d'une famille de classe moyenne dans la ville de Springfield.,"Animation,Comédie",Anglais,États-Unis,Tous publics,8.7,"Dan Castellaneta,Nancy Cartwright,Harry Shearer,Julie Kavner,Yeardley Smith,Hank Azaria,Pamela Hayden,Tress MacNeille,Maggie Roswell,Chris Edgerly,Karl Wiedergott,Russi Taylor,Marcia Wallace,Kevin Michael Richardson,Phil Hartman,Joe Mantegna,Alex Désert,Maurice LaMarche",34,739
Gran Torino,Gran Torino,25 février 2009,116,"Walt Kowalski, renfrogné vétéran de la guerre de Corée, voudrait éduquer son voisin, adolescent de Hmong, qui avait essayé de voler le bien le plus préciuex de Kowalski, sa voiture Gran Torino de 1972.",Drame,"Anglais,Hmong","Allemagne,États-Unis",Tous publics,8.1,"Clint Eastwood,Bee Vang,Christopher Carley,Ahney Her,Brian Haley,Geraldine Hughes,Dreama Walker,Brian Howe,John Carroll Lynch,William Hill,Brooke Chia Thao,Chee Thao,Choua Kue,Scott Eastwood,Xia Soua Chang,Sonny Vue,Doua Moua,Greg Trzaskoma",,
Fargo,Fargo,4 septembre 1996,98,"Le crime inepte de Jerry Lundegaard et de son homme de main tombe à l'eau à cause de leur maladresse et du travail policier persistant de Marge Gunderson, enceinte jusqu'au dents.","Policier,Thriller",Anglais,"États-Unis,Royaume-Uni",12,8.1,"William H. Macy,Frances McDormand,Steve Buscemi,Peter Stormare,Kristin Rudrüd,Harve Presnell,Tony Denman,Gary Houston,Sally Wingert,Kurt Schweickhardt,Larissa Kokernot,Melissa Peterman,Steve Reevis,Warren Keith,Steve Edelman,Sharon Anderson,Larry Brandenburg,James Gaulke",,
Mon voisin Totoro,Tonari no Totoro,8 décembre 1999,86,"Lorsque deux jeunes filles déménagent à la campagne pour être près de leur mère souffrante, elles vivent des aventures avec les merveilleux esprits de la forêt qui vivent tout près.","Animation,Comédie,Famille",Japonais,Japon,Tous publics,8.1,"Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto,Shigesato Itoi,Sumi Shimamoto,Tanie Kitabayashi,Hiroko Maruyama,Machiko Washio,Reiko Suzuki,Masashi Hirose,Toshiyuki Amagasa,Shigeru Chiba,Naoki Tatsuta,Tarako,Tomohiro Nishimura,Mitsuko Ishida,Chie Kôjiro,Daiki Nakamura",,
Trainspotting,Trainspotting,19 juin 1996,93,"Renton, profondément immergé dans le monde de la drogue d'Édimbourg, essaie de se désintoxiquer et de s'en sortir, malgré l'attrait de la drogue et la mauvaise influence de ses amis.",Drame,Anglais,Royaume-Uni,16,8.1,"Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Kevin McKidd,Robert Carlyle,Kelly Macdonald,Peter Mullan,James Cosmo,Eileen Nicholas,Susan Vidler,Pauline Lynch,Shirley Henderson,Stuart McQuarrie,Irvine Welsh,Dale Winton,Keith Allen,Kevin Allen,Annie Louise Ross",,
Warrior,Warrior,14 septembre 2011,140,"Le fils cadet d'un ancien boxeur alcoolique rentre chez lui, où son père l'entraîne pour une compétition dans un tournoi d'arts martiaux mixtes: une voie qui le met sur une trajectoire de collision avec son frère aîné.","Action,Drame,Sport","Anglais,Espagnol",États-Unis,Tous publics,8.2,"Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison,Frank Grillo,Kevin Dunn,Maximiliano Hernández,Bryan Callen,Sam Sheridan,Fernando Chien,Jake McLaughlin,Vanessa Martinez,Denzel Whitaker,Carlos Miranda,Nick Lehane,Laura Chinn,Capri Thomas,Lexi Cowan",,
3 Billboards: Les panneaux de la vengeance,"Three Billboards Outside Ebbing, Missouri",17 janvier 2018,115,Une mère prend les choses en main lorsque les autorités locales ne parviennent pas à résoudre le meurtre de sa fille et attraper le coupable.,"Comédie,Policier,Drame",Anglais,"Royaume-Uni,États-Unis",Tous publics,8.1,"Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones,Kerry Condon,Alejandro Barrios,Clarke Peters,Darrell Britt-Gibson,Abbie Cornish,Riya May Atwood,Selah Atwood,Lucas Hedges,Zeljko Ivanek,Amanda Warren,Malaya Rivera Drew,Sandy Martin,Peter Dinklage,Christopher Berry",,
Le pont de la rivière Kwaï,The Bridge on the River Kwai,20 décembre 1957,161,"Après avoir résolu ses différends avec le commandant d'un camp japonais de prisonniers de guerre, un colonel britannique coopère pour superviser la construction par ses hommes d'un pont ferroviaire pour leurs geôliers, sans savoir que les Alliés prévoient de le détruire.","Aventure,Drame,Guerre","Anglais,Japonais,Thai","Royaume-Uni,États-Unis",Tous publics,8.2,"William Holden,Alec Guinness,Jack Hawkins,Sessue Hayakawa,James Donald,Geoffrey Horne,André Morell,Peter Williams,John Boxer,Percy Herbert,Harold Goodwin,Ann Sears,Heihachirô Ôkawa,Keiichirô Katsumoto,M.R.B. Chakrabandhu,Vilaiwan Seeboonreaung,Ngamta Suphaphongs,Javanart Punynchoti",,
Le crime était presque parfait,Dial M for Murder,2 février 1955,105,Un ancien joueur de tennis décide de tuer sa femme pour hériter de son argent et se venger d'un cas qu'elle avait eu. Mais les choses ne se dérouleront pas comme prévu.,"Policier,Thriller",Anglais,États-Unis,Tous publics,8.2,"Ray Milland,Grace Kelly,Robert Cummings,John Williams,Anthony Dawson,Leo Britt,Patrick Allen,George Leigh,George Alderson,Robin Hughes,Richard Bender,Robin Sanders Clark,Jack Cunningham,Robert Dobson,Guy Doleman,Bess Flowers,Robert Garvin,Herschel Graham",,
"Arnaques, crimes et botanique","Lock, Stock and Two Smoking Barrels",28 octobre 1998,107,"Un jeu de cartes bâclé à Londres incite quatre amis, des voyous, des cultivateurs de mauvaise herbe, des gangsters, des usuriers et des créanciers à se faire entrer en collision dans une série d'événements inattendus, le tout dans un souci d'argent, de cannabis et de deux anciens...","Action,Comédie,Policier",Anglais,Royaume-Uni,Tous publics,8.2,"Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham,Steven Mackintosh,Nicholas Rowe,Nick Marcq,Charles Forbes,Vinnie Jones,Lenny McLean,Peter McNicholl,P.H. Moriarty,Frank Harper,Steve Sweeney,Huggy Leaver,Ronnie Fox,Tony McMahon,Stephen Marcus",,
Dans ses yeux,El secreto de sus ojos,5 mai 2010,129,"Un fonctionnaire de police à la retraite écrit un roman dans l'espoir de tourner la page sur l'une de ses affaires criminelles non résolues et déclarer enfin son amour à sens unique à son ancienne supérieure, deux choses qui le hantent toujours des décennies plus tard.","Drame,Mystère,Romantique",Espagnol,"Argentine,Espagne",Tous publics,8.2,"Ricardo Darín,Soledad Villamil,Pablo Rago,Carla Quevedo,Javier Godino,Bárbara Palladino,Rudy Romano,Alejandro Abelenda,Mario Alarcón,Guillermo Francella,Sebastián Blanco,Mariano Argento,José Luis Gioia,Juan José Ortíz,Kiko Cerone,Fernando Pardo,Maximiliano Trento,Sergio Santana",,
Vice-versa,Inside Out,17 juin 2015,95,"Après avoir quitté sa vie dans le Midwest à contrecoeur et déménagé à San Francisco, la jeune Riley et ses émotions Joie, Peur, Colère, Dégoût et Tristesse s'opposent quant au meilleur moyen de gérer une nouvelle ville, une nouvelle maison et une nouvelle école.","Animation,Aventure,Comédie","Anglais,Portugais",États-Unis,Tous publics,8.2,"Amy Poehler,Bill Hader,Lewis Black,Mindy Kaling,Phyllis Smith,Richard Kind,Kaitlyn Dias,Diane Lane,Kyle MacLachlan,Paula Poundstone,Bobby Moynihan,Paula Pell,Dave Goelz,Frank Oz,Josh Cooley,Flea,John Ratzenberger,Carlos Alazraqui",,
V pour vendetta,V for Vendetta,19 avril 2006,132,"""Dans un futur tyrannique en Grande Bretagne, un défenseur de la liberté ténébreux connu uniquement sous le pseudonyme de """"V"""" complote pour renverser le régime avec l'aide d'une jeune femme.""","Action,Drame,Science-fiction",Anglais,"États-Unis,Royaume-Uni,Allemagne",Tous publics avec avertissement,8.2,"Hugo Weaving,Natalie Portman,Rupert Graves,Stephen Rea,Stephen Fry,John Hurt,Tim Pigott-Smith,Roger Allam,Ben Miles,Sinéad Cusack,Natasha Wightman,John Standing,Eddie Marsan,Clive Ashborn,Emma Field-Rayner,Ian Burfield,Mark Phoenix,Alister Mazzotti",,
Le château ambulant,Hauru no ugoku shiro,12 janvier 2005,119,"Lorsqu'une jeune femme peu sûre d'elle est maudite par une sorcière malveillante, sa seule chance de conjurer le sort est un jeune sorcier égoïste manquant d'assurance, et ses compagnons dans leur château ambulant.","Animation,Aventure,Famille",Japonais,Japon,Tous publics,8.2,"Chieko Baishô,Takuya Kimura,Tatsuya Gashûin,Akihiro Miwa,Ryûnosuke Kamiki,Mitsunori Isaki,Yô Ôizumi,Akio Ôtsuka,Daijirô Harada,Haruko Katô,Jean Simmons,Christian Bale,Lauren Bacall,Blythe Danner,Emily Mortimer,Josh Hutcherson,Billy Crystal,Jena Malone",,
Autant en emporte le vent,Gone with the Wind,20 mai 1950,238,Une femme manipulatrice et un homme cynique vivent une histoire d'amour tumultueuse pendant la guerre de Sécession et l'époque de la Reconstruction aux États-Unis.,"Drame,Romantique,Guerre",Anglais,États-Unis,Tous publics,8.2,"Clark Gable,Vivien Leigh,Thomas Mitchell,Barbara O'Neil,Evelyn Keyes,Ann Rutherford,George Reeves,Fred Crane,Hattie McDaniel,Oscar Polk,Butterfly McQueen,Victor Jory,Everett Brown,Howard Hickman,Alicia Rhett,Leslie Howard,Olivia de Havilland,Rand Brooks",,
Chinatown,Chinatown,18 décembre 1974,130,"Un détective privé engagé pour exposer l'auteur d'un adultère se retrouve pris dans un tissu de mensonges, de corruption et de meurtre.","Drame,Mystère,Thriller","Anglais,Cantonais,Espagnol",États-Unis,12,8.2,"Jack Nicholson,Faye Dunaway,John Huston,Perry Lopez,John Hillerman,Darrell Zwerling,Diane Ladd,Roy Jenson,Roman Polanski,Richard Bakalyan,Joe Mantell,Bruce Glover,Nandu Hinds,James O'Rear,James Hong,Beulah Quo,Jerry Fujikawa,Belinda Palmer",,
Raging Bull,Raging Bull,11 mars 1981,129,"La vie du boxeur Jake LaMotta, que la violence et le caractère sanguin auront conduit au sommet du ring tout en détruisant sa vie en dehors de celui-ci.","Biographique,Drame,Sport",Anglais,États-Unis,12,8.2,"Robert De Niro,Cathy Moriarty,Joe Pesci,Frank Vincent,Nicholas Colasanto,Theresa Saldana,Mario Gallo,Frank Adonis,Joseph Bono,Frank Topham,Lori Anne Flax,Charles Scorsese,Don Dunphy,Bill Hanrahan,Rita Bennett,James V. Christy,Bernie Allen,Floyd Anderson",,
Elephant Man,The Elephant Man,8 avril 1981,124,"Un chirurgien de l'époque victorienne sauve un homme défiguré et maltraité gagnant sa vie comme monstre de foire. Derrière sa façade monstrueuse se dévoile une personne empreinte de gentillesse, d'intelligence et de sophistication.","Biographique,Drame","Anglais,Français","États-Unis,Royaume-Uni",Tous publics,8.2,"Anthony Hopkins,John Hurt,Anne Bancroft,John Gielgud,Wendy Hiller,Freddie Jones,Michael Elphick,Hannah Gordon,Helen Ryan,John Standing,Dexter Fletcher,Lesley Dunlop,Phoebe Nicholls,Pat Gorman,Claire Davenport,Orla Pederson,Patsy Smart,Frederick Treves",,
The Thing,The Thing,3 novembre 1982,109,"Une équipe de recherche américaine, basée en Antarctique, est attaquée par une créature capable de prendre l'apparence de ses victimes.","Horreur,Mystère,Science-fiction","Anglais,Norvégien","États-Unis,Canada",13,8.2,"Kurt Russell,Wilford Brimley,Keith David,Richard Masur,T.K. Carter,David Clennon,Richard Dysart,Charles Hallahan,Peter Maloney,Donald Moffat,Joel Polis,Thomas G. Waites,Norbert Weisser,Larry Franco,Nate Irwin,William Zeman,Adrienne Barbeau,John Carpenter",,
No Country for Old Men,No Country for Old Men,23 janvier 2008,122,Violence et chaos surviennent après qu'un chasseur découvre un deal de drogue ayant mal tourné ainsi que plus de deux millions de dollars en espèces près du Rio Grande.,"Policier,Drame,Thriller","Anglais,Espagnol",États-Unis,12,8.2,"Tommy Lee Jones,Javier Bardem,Josh Brolin,Woody Harrelson,Kelly Macdonald,Garret Dillahunt,Tess Harper,Barry Corbin,Stephen Root,Rodger Boyce,Beth Grant,Ana Reeder,Kit Gwin,Zach Hopkins,Chip Love,Eduardo Antonio Garcia,Gene Jones,Myk Watford",,
Rashomon,Rashômon,18 avril 1952,88,Raconte des versions divergentes d'un crime odieux et de ses conséquences.,"Policier,Drame,Mystère",Japonais,Japon,Tous Public,8.2,"Toshirô Mifune,Machiko Kyô,Masayuki Mori,Takashi Shimura,Minoru Chiaki,Kichijirô Ueda,Noriko Honma,Daisuke Katô",,
Le Monde de Nemo,Finding Nemo,26 novembre 2003,100,"Après la capture de son fils au Grand Recif de Corail , qui est amené à Sydney, un poisson clown timide embarque sur une aventure afin de ramener son fils à la maison.","Animation,Aventure,Comédie",Anglais,États-Unis,Tous publics,8.2,"Albert Brooks,Ellen DeGeneres,Alexander Gould,Willem Dafoe,Brad Garrett,Allison Janney,Austin Pendleton,Stephen Root,Vicki Lewis,Joe Ranft,Geoffrey Rush,Andrew Stanton,Elizabeth Perkins,Nicholas Bird,Bob Peterson,Barry Humphries,Eric Bana,Bruce Spence",,
La Grande Évasion,The Great Escape,23 août 1963,172,Des prisonniers de guerre alliés prévoient l'évasion de plusieurs centaines de personnes d'un camp allemand pendant la Seconde Guerre mondiale.,"Aventure,Drame,Historique","Anglais,Allemand,Français,Russe,Espagnol",États-Unis,Tous publics,8.2,"Steve McQueen,James Garner,Richard Attenborough,Charles Bronson,James Donald,Donald Pleasence,James Coburn,Hannes Messemer,David McCallum,Gordon Jackson,John Leyton,Angus Lennie,Nigel Stock,Robert Graf,Jud Taylor,Hans Reiser,Harry Riebauer,William Russell",,
Kill Bill: Volume I,Vol. 1,26 novembre 2003,111,Un ancien assassin se réveille d'un coma de quatre ans et décide de se venger de l'équipe de meurtriers qui l'a trahie.,"Action,Policier,Drame","Anglais,Japonais,Français",États-Unis,16,8.2,"Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen,Lucy Liu,Vivica A. Fox,Julie Dreyfus,Chiaki Kuriyama,Shin'ichi Chiba,Chia-Hui Liu,Michael Parks,Michael Bowen,Jun Kunimura,Kenji Ôba,Yuki Kazamatsuri,James Parks,Sakichi Sato,Jonathan Loughran",,
Jurassic Park,Jurassic Park,20 octobre 1993,127,"Grâce à l'ADN fossilisé dans l'ambre, John Hammond donne vie à plusieurs espèces de dinosaures et crée Jurassic Park, un parc à thème sur une île du Costa Rica. Mais ce qui ressemblait à un rêve devient rapidement un cauchemar.","Action,Aventure,Science-fiction","Anglais,Espagnol",États-Unis,Tous publics,8.2,"Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,Bob Peck,Martin Ferrero,BD Wong,Joseph Mazzello,Ariana Richards,Samuel L. Jackson,Wayne Knight,Gerald R. Molen,Miguel Sandoval,Cameron Thor,Christopher John Fields,Whit Hertford,Dean Cundey,Jophery C. Brown",,
Le Trésor de la Sierra Madre,The Treasure of the Sierra Madre,11 février 1949,126,Deux Américains à la recherche d'un emploi au Mexique convainquent un ancien prospecteur de les aider à chercher de l'or dans les montagnes de la Sierra Madre.,"Aventure,Drame,Western","Anglais,Espagnol",États-Unis,Tous publics,8.2,"Humphrey Bogart,Walter Huston,Tim Holt,Bruce Bennett,Barton MacLane,Alfonso Bedoya,Arturo Soto Rangel,Manuel Dondé,José Torvay,Margarito Luna,Robert Blake,Guillermo Calles,Roberto Cañedo,Spencer Chan,Jacqueline Dalya,Ralph Dunn,Ernesto Escoto,Pat Flaherty",,
Le garde du corps,Yôjinbô,25 avril 1961,110,Un samouraï rusé arrive dans une ville contrôlée par deux gangs rivaux. Il décide de les dresser l'un contre l'autre pour libérer la ville.,"Action,Drame,Thriller",Japonais,Japon,Tous publics,8.2,"Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,Yôko Tsukasa,Isuzu Yamada,Daisuke Katô,Seizaburô Kawazu,Takashi Shimura,Hiroshi Tachikawa,Yôsuke Natsuki,Kamatari Fujiwara,Ikio Sawamura,Atsushi Watanabe,Susumu Fujita,Kyû Sazanka,Kô Nishimura,Takeshi Katô,Ichirô Nakatani",,
